Day   0 -      no restrictions: current guests:     8/   26, occupancy: 0.307692, newly infected:       3, currently infected:       3, total fully vaccined:       0, recovered:       0, ballance:    -2875
Day   1 -      no restrictions: current guests:    14/   26, occupancy: 0.538462, newly infected:       0, currently infected:       3, total fully vaccined:       0, recovered:       0, ballance:    -4350
Day   2 -      no restrictions: current guests:    13/   26, occupancy: 0.500000, newly infected:       2, currently infected:       5, total fully vaccined:       0, recovered:       0, ballance:    -7225
Day   3 -      no restrictions: current guests:    17/   26, occupancy: 0.653846, newly infected:       3, currently infected:       8, total fully vaccined:       0, recovered:       0, ballance:   -10100
Day   4 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:       4, currently infected:      12, total fully vaccined:       0, recovered:       0, ballance:   -10875
Day   5 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:       6, currently infected:      18, total fully vaccined:       0, recovered:       0, ballance:   -13750
Day   6 -      no restrictions: current guests:    23/   26, occupancy: 0.884615, newly infected:       1, currently infected:      19, total fully vaccined:       0, recovered:       0, ballance:    -9625
Day   7 -      no restrictions: current guests:    21/   26, occupancy: 0.807692, newly infected:      12, currently infected:      31, total fully vaccined:       0, recovered:       0, ballance:    -9700
Day   8 -      no restrictions: current guests:    16/   26, occupancy: 0.615385, newly infected:       0, currently infected:      31, total fully vaccined:       0, recovered:       0, ballance:   -11175
Day   9 -      no restrictions: current guests:    20/   26, occupancy: 0.769231, newly infected:      10, currently infected:      41, total fully vaccined:       0, recovered:       0, ballance:    40550
Day  10 -      no restrictions: current guests:    20/   26, occupancy: 0.769231, newly infected:      50, currently infected:      91, total fully vaccined:       0, recovered:       0, ballance:    42575
Day  11 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:       3, currently infected:      94, total fully vaccined:       0, recovered:       0, ballance:    50200
Day  12 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:      47, currently infected:     141, total fully vaccined:       0, recovered:       0, ballance:    47325
Day  13 -      no restrictions: current guests:    20/   26, occupancy: 0.769231, newly infected:      48, currently infected:     189, total fully vaccined:       0, recovered:       0, ballance:    44450
Day  14 -      no restrictions: current guests:    19/   26, occupancy: 0.730769, newly infected:      64, currently infected:     250, total fully vaccined:       0, recovered:       3, ballance:    42275
Day  15 -      no restrictions: current guests:    19/   26, occupancy: 0.730769, newly infected:      45, currently infected:     295, total fully vaccined:       0, recovered:       3, ballance:    39400
Day  16 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:      98, currently infected:     391, total fully vaccined:       0, recovered:       5, ballance:    40725
Day  17 -      no restrictions: current guests:    19/   26, occupancy: 0.730769, newly infected:      68, currently infected:     456, total fully vaccined:       0, recovered:       8, ballance:    51850
Day  18 -      no restrictions: current guests:    21/   26, occupancy: 0.807692, newly infected:     230, currently infected:     682, total fully vaccined:       0, recovered:      12, ballance:    51075
Day  19 -      no restrictions: current guests:    23/   26, occupancy: 0.884615, newly infected:     139, currently infected:     815, total fully vaccined:       0, recovered:      18, ballance:    53800
Day  20 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:     162, currently infected:     976, total fully vaccined:       0, recovered:      19, ballance:    64925
Day  21 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:     125, currently infected:    1089, total fully vaccined:       0, recovered:      31, ballance:    78850
Day  22 -      no restrictions: current guests:    20/   26, occupancy: 0.769231, newly infected:     116, currently infected:    1205, total fully vaccined:       0, recovered:      31, ballance:    75975
Day  23 -      no restrictions: current guests:    14/   26, occupancy: 0.538462, newly infected:     158, currently infected:    1353, total fully vaccined:       0, recovered:      41, ballance:    74500
Day  24 -      no restrictions: current guests:    15/   26, occupancy: 0.576923, newly infected:     260, currently infected:    1563, total fully vaccined:       0, recovered:      91, ballance:    71625
Day  25 -      no restrictions: current guests:    14/   26, occupancy: 0.538462, newly infected:     271, currently infected:    1831, total fully vaccined:       0, recovered:      94, ballance:    88350
Day  26 -      no restrictions: current guests:    17/   26, occupancy: 0.653846, newly infected:     354, currently infected:    2138, total fully vaccined:       0, recovered:     141, ballance:    95275
Day  27 -      no restrictions: current guests:    23/   26, occupancy: 0.884615, newly infected:     352, currently infected:    2442, total fully vaccined:       0, recovered:     189, ballance:    92400
